title,speaker,date,sermonUrl
Are You Wrestling With God,Barry Gin,2018-03-25,//35.190.93.184/sermons/20180325_barry_gin_are_you_wrestling_with_God.mp3
The Wonder Antidote for Drifting,Peter Chung,2018-03-11,//35.190.93.184/sermons/20180311_sunday_peter%20_chung_the_wonder_antidote_for_drifting.mp3
Resistance is Feud-al,Barry Gin,2018-03-04,//35.190.93.184/sermons/20180304_sunday_barry_gin_resistance_is_feud-al.mp3
Find Your Place in the Body,Barry Gin,2018-02-25,//35.190.93.184/sermons/20180225_sunday_barry_gin_find_your_place_in_the_body.mp3
Freed To Love and Serve,Barry Gin,2018-02-18,//35.190.93.184/sermons/20180218_sunday_barry_gin_freed_to_love_and_serve.mp3
Live Under The Influence,Barry Gin,2018-02-11,//35.190.93.184/sermons/20180211_sunday_barry_gin_live_under_the_influence.mp3
Our Prayer Helper,Barry Gin,2018-01-28,//35.190.93.184/sermons/20180128_sunday_barry_gin_our_prayer_helper.mp3
Empowered By The Spirit To Be Christ’s Witnesses,Barry Gin,2018-01-07,//35.190.93.184/sermons/20180107_sunday_barry_gin_empowered_by_the_spirit_to_be_christ's_witnesses.mp3
Are You a Follower or Fan?,Sam Neugent,2017-12-31,//35.190.93.184/sermons/20171231_sunday_sam_neugent_are_you_a_follower_or_fan.mp3
What DID Jesus Do?,Barry Gin,2017-12-24,//35.190.93.184/sermons/20171224_sunday_barry_gin_what_did_jesus_do.mp3
"Conviction, Conscience and Community",Barry Gin,2017-12-10,//35.190.93.184/sermons/20171210_sunday_barry_gin_conviction_conscience_and_community.mp3
"Love One Another, Don’t Do The Things",Jimmy Kuo,2017-11-26,//35.190.93.184/sermons/20171126_sunday_jimmy_kuo_love_one_another_don't_do_the_things.mp3
Spiritually Living In A Worldly Kingdom,Barry Gin,2017-11-19,//35.190.93.184/sermons/20171119_sunday_barry_gin_spiritual_living_in_a_worldly_kingdom.mp3
Respond Kindly Not “In Kind”,Barry Gin,2017-11-12,//35.190.93.184/sermons/20171112_sunday_barry_gin_respond_kindly_not_in_kind.mp3
